Numero_de_piece;date;Ref_cli;Societe;Contact;Adresse1;Adresse2;Code_postal;Ville;Pays;Email;Nb_pages;Mode_envoi;Typ_doc;Origine;Rep_dest;fichier
J6126297;20180605;C00195;ORNALLIA VALFRAMBERT;;IMPASSE JOAN MIRO;;61250;VALFRAMBERT;FR;marc.lebailly@bodemerauto.com;00002;MAIL;FC;CISCAR;CISCAR-20180608-210017;00002_FR_61250_C00195_20180605-145857_MAIL_AF_FC_J6126297.pdf
J6126263;20180605;C00195;ORNALLIA VALFRAMBERT;;IMPASSE JOAN MIRO;;61250;VALFRAMBERT;FR;marc.lebailly@bodemerauto.com;00002;MAIL;FC;CISCAR;CISCAR-20180608-210017;00002_FR_61250_C00195_20180605-145851_MAIL_AF_FC_J6126263.pdf
J6126296;20180605;C00165;ORNALLIA FLERS;;ZONE INDUSTRIELLE;1077 ROUTE DE DOMFRONT - BP 10;61101;FLERS CEDEX;FR;patricia.malo@bodemerauto.com;00002;MAIL;FC;CISCAR;CISCAR-20180608-210017;00002_FR_61101_C00165_20180605-145857_MAIL_AF_FC_J6126296.pdf
J6126262;20180605;C00165;ORNALLIA FLERS;;ZONE INDUSTRIELLE;1077 ROUTE DE DOMFRONT - BP 10;61101;FLERS CEDEX;FR;patricia.malo@bodemerauto.com;00002;MAIL;FC;CISCAR;CISCAR-20180608-210017;00002_FR_61101_C00165_20180605-145851_MAIL_AF_FC_J6126262.pdf
J6126305;20180605;C10781;SAS SCAUTO;;CONCESSION RENAULT-DACIA;85 RUE PIERRE BROSSOLETTE;50110;TOURLAVILLE;FR;compta.scauto@bodemerauto.com;00002;MAIL;FC;CISCAR;CISCAR-20180608-210017;00002_FR_50110_C10781_20180605-145859_MAIL_AF_FC_J6126305.pdf
J6126271;20180605;C10781;SAS SCAUTO;;CONCESSION RENAULT-DACIA;85 RUE PIERRE BROSSOLETTE;50110;TOURLAVILLE;FR;compta.scauto@bodemerauto.com;00002;MAIL;FC;CISCAR;CISCAR-20180608-210017;00002_FR_50110_C10781_20180605-145853_MAIL_AF_FC_J6126271.pdf
J6126301;20180605;C00628;SCAUTO;;ZONE ARTISANALE DE LA CHEVALERIE;;50000;SAINT LO;FR;compta.scauto@bodemerauto.com;00002;MAIL;FC;CISCAR;CISCAR-20180608-210017;00002_FR_50000_C00628_20180605-145858_MAIL_AF_FC_J6126301.pdf
J6126267;20180605;C00628;SCAUTO;;ZONE ARTISANALE DE LA CHEVALERIE;;50000;SAINT LO;FR;compta.scauto@bodemerauto.com;00002;MAIL;FC;CISCAR;CISCAR-20180608-210017;00002_FR_50000_C00628_20180605-145852_MAIL_AF_FC_J6126267.pdf
J6126312;20180605;C90047;CELTADIS MORLAIX;;ROUTE DE PARIS;LA CROIX ROUGE -  BP 97424;29679;MORLAIX;FR;marie.francoise.eronte@bodemerauto.com;00002;MAIL;FC;CISCAR;CISCAR-20180608-210017;00002_FR_29679_C90047_20180605-145900_MAIL_AF_FC_J6126312.pdf
J6126278;20180605;C90047;CELTADIS MORLAIX;;ROUTE DE PARIS;LA CROIX ROUGE -  BP 97424;29679;MORLAIX;FR;marie.francoise.eronte@bodemerauto.com;00002;MAIL;FC;CISCAR;CISCAR-20180608-210017;00002_FR_29679_C90047_20180605-145854_MAIL_AF_FC_J6126278.pdf
